day,blob1_id,blob1_color,blob1_strategy,blob2_id,blob2_color,blob2_strategy,blob1_choice,blob2_choice,result
12,red05,red,dominant,black02,black,lstm,rock,paper,loss
12,green14,green,mirror,green15,green,mirror,paper,rock,win
12,green16,green,mirror,blue11,blue,random,rock,paper,loss
12,green17,green,mirror,blue12,blue,random,scissors,rock,loss
12,green18,green,mirror,green19,green,mirror,scissors,rock,loss
12,green20,green,mirror,blue13,blue,random,paper,scissors,loss
12,green21,green,mirror,black03,black,lstm,paper,scissors,loss
12,blue14,blue,random,green22,green,mirror,rock,rock,draw
12,green23,green,mirror,green24,green,mirror,scissors,rock,loss
12,red06,red,dominant,blue15,blue,random,scissors,scissors,draw
12,blue16,blue,random,green25,green,mirror,rock,paper,loss
12,red07,red,dominant,black04,black,lstm,rock,scissors,win
12,red08,red,dominant,green26,green,mirror,rock,paper,loss
12,black05,black,lstm,green27,green,mirror,paper,scissors,loss
12,green28,green,mirror,red09,red,dominant,rock,rock,draw
12,purple01,purple,rl,black06,black,lstm,rock,rock,draw
12,green29,green,mirror,blue17,blue,random,scissors,rock,loss
12,green30,green,mirror,green31,green,mirror,scissors,rock,loss
12,green32,green,mirror,green33,green,mirror,paper,scissors,loss
12,blue18,blue,random,green34,green,mirror,paper,scissors,loss
12,green35,green,mirror,black07,black,lstm,rock,scissors,win
12,green36,green,mirror,green37,green,mirror,scissors,rock,loss
12,blue19,blue,random,green38,green,mirror,paper,rock,win
12,green39,green,mirror,green40,green,mirror,scissors,paper,win
12,red10,red,dominant,blue20,blue,random,scissors,paper,win
12,green41,green,mirror,black08,black,lstm,rock,rock,draw
12,green42,green,mirror,green43,green,mirror,rock,paper,loss
12,green44,green,mirror,blue21,blue,random,rock,rock,draw
12,blue22,blue,random,green45,green,mirror,paper,paper,draw
12,blue23,blue,random,blue24,blue,random,rock,scissors,win
12,green46,green,mirror,green47,green,mirror,rock,scissors,win
12,blue25,blue,random,green48,green,mirror,rock,paper,loss
12,red11,red,dominant,blue26,blue,random,paper,rock,win
13,red00,red,dominant,blue00,blue,random,rock,rock,draw
13,green00,green,mirror,purple00,purple,rl,paper,scissors,loss
13,orange00,orange,mlp,black00,black,lstm,scissors,rock,loss
13,blue01,blue,random,green01,green,mirror,scissors,paper,win
13,blue02,blue,random,green02,green,mirror,rock,paper,loss
13,red01,red,dominant,green03,green,mirror,rock,paper,loss
13,blue03,blue,random,green04,green,mirror,paper,paper,draw
13,blue04,blue,random,green05,green,mirror,scissors,rock,loss
13,green06,green,mirror,red02,red,dominant,scissors,rock,loss
13,green07,green,mirror,blue05,blue,random,scissors,paper,win
13,blue06,blue,random,blue07,blue,random,paper,rock,win
13,green08,green,mirror,green09,green,mirror,rock,paper,loss
13,red03,red,dominant,green10,green,mirror,scissors,paper,win
13,black01,black,lstm,blue08,blue,random,rock,scissors,win
13,green11,green,mirror,green12,green,mirror,scissors,rock,loss
13,blue09,blue,random,red04,red,dominant,paper,scissors,loss
13,blue10,blue,random,green13,green,mirror,rock,scissors,win
13,red05,red,dominant,black02,black,lstm,rock,paper,loss
13,green14,green,mirror,green15,green,mirror,paper,scissors,loss
13,green16,green,mirror,blue11,blue,random,scissors,rock,loss
13,green17,green,mirror,blue12,blue,random,scissors,paper,win
13,green18,green,mirror,green19,green,mirror,rock,rock,draw
13,green20,green,mirror,blue13,blue,random,paper,scissors,loss
13,green21,green,mirror,black03,black,lstm,paper,scissors,loss
13,blue14,blue,random,green22,green,mirror,rock,paper,loss
13,green23,green,mirror,green24,green,mirror,scissors,rock,loss
13,red06,red,dominant,blue15,blue,random,rock,scissors,win
13,blue16,blue,random,green25,green,mirror,scissors,rock,loss
13,red07,red,dominant,black04,black,lstm,paper,scissors,loss
13,red08,red,dominant,green26,green,mirror,scissors,paper,win
13,black05,black,lstm,green27,green,mirror,paper,scissors,loss
13,green28,green,mirror,red09,red,dominant,scissors,rock,loss
13,purple01,purple,rl,black06,black,lstm,rock,rock,draw
13,green29,green,mirror,blue17,blue,random,scissors,scissors,draw
13,green30,green,mirror,green31,green,mirror,paper,rock,win
13,green32,green,mirror,green33,green,mirror,paper,scissors,loss
